index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,,,"同じ形の家。同じ色の自転車。同じ角度の電柱。",Residential,,chapter,2,,,,,,,,
1,Mio,,"……ここ、さっき通りました?",Residential,,,1,,,,,,,,
2,Saku,,"通ってない。と、思う",Residential,,,1,,,,,,,,
3,Mio,,"思う",Residential,,,1,,,,,,,,
4,Saku,,"迷子の自覚はある",Residential,,,1,,,,,,,,
5,,,"メモを広げる。凪の描いた順番。曲がったミラー、赤い自転車、欠けた植木鉢。",Residential,,,1,,,,,,,,
6,Mio,,"順番通りに行けば、たぶん",Residential,,,1,,,,,,,,
7,Saku,,"じゃあ俺、こっちだと思う",Residential,,,1,,,,,,,,
8,,,"朔さんが選んだ道は、三十歩で塀に突き当たった。",Residential,,,1,,,,,,,,
9,Saku,,"……うん",Residential,,,1,,,,,,,,
10,Mio,,"胸を張らないでください",Residential,,,1,,,,,,,,
11,Saku,,"堂々としてたほうが、こわくないだろ",Residential,,,1,,,,,,,,
12,,,"そう言って、朔さんは少しだけ困った顔をした。",Residential,,,1,,,,,,,,
13,Mio,,"……分からないなら、一緒に考えましょう。そのほうが早い",Residential,,saku_honest,1,,,,,,,,
14,Saku,,"……そうしてもらえると、助かる",Residential,,,1,,,,,,,,
15,,,"曲がったミラー。赤い自転車。欠けた植木鉢。三つ目を折れると、明かりの点いた小さな店が見えた。",Residential,,mirror_route,1,,,,,,,,
16,,,"コインランドリー。窓の外がよく見える、明るい部屋。",Laundromat,,,1,,,,,,,,
17,Mio,,"洗濯機、回ってる……",Laundromat,,,1,,,,,,,,
18,Saku,,"ここ、来たことある。誰かの居場所っぽくて、勝手に触らなかった",Laundromat,,,1,,,,,,,,
19,,,"畳んだ布。乾いたタオル。並んだ食料。長さの違う鉛筆が、何本も。",Laundromat,,,1,,,,,,,,
20,Mio,,"……誰かが、暮らしてる",Laundromat,,,1,,,,,,,,
21,,,"ベンチの上に、ノートが一冊。",Laundromat,,,1,,,,,,,,
22,,,"最初のページ。大きな字。『きょう、だれもいなかった』。猫の絵。耳が片方だけ大きい。",Laundromat,,nagi_notebook,1,,,,,,,,
23,Mio,,"凪の……",Laundromat,,,1,,,,,,,,
24,,,"めくる。字が、少しずつ小さくなる。丸かった線が、角を持つ。",Laundromat,,,1,,,,,,,,
25,,,"『たべものはへらない。ふしぎ』『きょうは十六こ数えた』『数えるのやめた』",Laundromat,,,1,,,,,,,,
26,,,"最後のほうのページは、わたしの知らない大人の字だった。",Laundromat,,,1,,,,,,,,
27,Mio,,"……ここに、ずっと",Laundromat,,,1,,,,,,,,
28,Saku,,"最近来た子の落とし物だと思ってた。……違うんだな",Laundromat,,nagi_survived,1,,,,,,,,
29,,,"わたしが駅前でビラを配っていた七年。妹はここで、鉛筆を短くしながら生きていた。",Laundromat,,,1,,,,,,,,
30,Mio,,"迎えに来るの、遅すぎた",Laundromat,,,1,,,,,,"それでも来た、と思う",32,,"膝をつく",31,
31,,,"床に膝をついた。朔さんは何も言わず、ノートの角をそっと閉じた。急かさない人だ。",Laundromat,,,1,,,,,,,,
32,Saku,,"……七年かけて、たどり着いたんだろ。それは遅いって言わないよ",Laundromat,,,1,,,,,,,,
33,,,"ノートの最後に、写真が一枚挟まっていた。夕暮れのホーム。欠けた青いタイル。",Laundromat,,,1,,,,,,,,
34,Mio,,"わたしに届いたのと、同じ駅だ",Laundromat,,photo_matched,1,,,,,,,,
35,,,"裏に走り書き。『ここだけ、外のにおいがする』。",Laundromat,,outside_smell,1,,,,,,,,
36,Saku,,"外のにおい。……風が通ってるってことか",Laundromat,,,1,,,,,,,,
37,,,"乾燥機が回る。低い唸り。その音に、別の音が重なった。",Laundromat,,,1,,,,,,,,
38,,,"すりガラスの向こうで、影がひとつ、止まっている。",Laundromat,,,1,,,,,,,,
39,Mio,,"……人?",Laundromat,,,1,,,,,,,,
40,Saku,,"背は、ある。それ以上は分からない",Laundromat,,stalker_seen,1,,,,,,,,
41,,,"わたしたちは明かりを落として、奥の物置へ入った。動かない。息を殺す。",Laundromat,,,1,,,,,,,,
42,,,"影は、窓を撫でるようにゆっくり動いて、離れていった。",Laundromat,,,1,,,,,,,,
43,Mio,,"……いつも、こうなんですか",Laundromat,,,1,,,,,,,,
44,Saku,,"慣れはしない。慣れたと思ったときが、たぶん危ない",Laundromat,,,1,,,,,,,,
45,,,"窓の外。並んだ屋根の向こうに、ブランコの支柱が見えた。ノートの絵と同じ配置。",Laundromat,,,1,,,,,,,,
46,Mio,,"……あの公園、うちの近くのと同じだ",Laundromat,,park_route,1,,,,,,,,
47,Saku,,"同じ?",Laundromat,,,1,,,,,,,,
48,Mio,,"滑り台の向きも、砂場の位置も。凪と、毎日行ってた",Laundromat,,,1,,,,,,,,
49,,,"凪がこの町でその公園を選んだ理由が、分かった気がした。",Laundromat,,,1,,,,,,,,
50,Mio,,"行きましょう。近いです",Laundromat,,chapter,3,,,,,,,,
51,,,"公園の奥。錆びた鉄棒のそばで、黄色いリボンが揺れた。",Park,,,1,,,,,,,,
52,Mio,,"……凪?",Park,,,1,,,,,,,,
