index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,,,"地下道の蛍光灯が、等間隔に光っていた。同じ踊り場が、何度も現れる。",Underpass,,chapter,4,,,,,,,,
1,Mio,,"また同じところ……",Underpass,,,1,,,,,,,,
2,Nagi,,"違うよ。手すりの継ぎ目、さっきは二つ。今は三つ",Underpass,,,1,,,,,,,,
3,,,"凪は壁の傷を指でなぞりながら歩く。目印の読み方を、七年かけて覚えたのだ。",Underpass,,,1,,,,,,,,
4,Saku,,"……俺、いままで何を見て歩いてたんだろうな",Underpass,,,1,,,,,,,,
5,Nagi,,"勘",Underpass,,,1,,,,,,,,
6,Saku,,"当たってるのが悔しい",Underpass,,,1,,,,,,,,
7,,,"停電区間。懐中電灯を点ける。光の輪の中だけが、世界だった。",Underpass,,,1,,,,,,,,
8,,,"扉が引っかかって開かない。朔さんが金具に手を入れ、凪が次の物陰を指さす。わたしが手元を照らす。",Underpass,,,1,,,,,,,,
9,Mio,,"……三人だと、こんなに早いんだ",Underpass,,,1,,,,,,,,
10,Nagi,,"一人だと、この扉の前で三回あきらめた",Underpass,,,1,,,,,,,,
11,Saku,,"じゃあ今日は、四回目だな。開いたぶんの",Underpass,,team_formed,1,,,,,,,,
12,,,"階段を上がると、案内板があった。『町外方面』。矢印の先は明るい。",Station,,,1,,,,,,,,
13,Mio,,"出口だ",Station,,,1,,,,,,"走り出す",14,,"凪を待つ",16,
14,,,"わたしは走った。明かりへ。外へ。",Station,,,1,,,,,,,,
15,,,"抜けた先にあったのは、見覚えのある自動販売機だった。商店街。最初の場所。",Residential,,,1,,,,,,,,
16,Nagi,,"……だから、看板は当てにならないの",Residential,,false_exit,1,,,,,,,,
17,Mio,,"ごめん",Residential,,,1,,,,,,,,
18,,,"背後と、横道。二方向から靴音が反響した。",Residential,,,1,,,,,,,,
19,Mio,,"え",Residential,,,1,,,,,,,,
20,,,"足が動かない。明かりを消さなきゃ、隠れなきゃ、と頭では分かっているのに。",Residential,,,1,,,,,,,,
21,Nagi,,"こっち",Residential,,,1,,,,,,,,
22,,,"腕を引かれた。強い力だった。物置の戸が閉まり、凪の手がわたしの懐中電灯を消す。",Residential,,nagi_saved_mio,1,,,,,,,,
23,,,"足音が、戸の前で止まる。",Residential,,,1,,,,,,,,
24,,,"一。二。三。四。",Residential,,,1,,,,,,,,
25,,,"……離れていく。",Residential,,,1,,,,,,,,
26,Nagi,,"……ふう",Residential,,,1,,,,,,,,
27,Mio,,"……助けられた",Residential,,,1,,,,,,,,
28,Nagi,,"うん",Residential,,,1,,,,,,,,
29,Mio,,"わたしが、迎えに来たのに",Residential,,,1,,,,,,,,
30,Nagi,,"来てくれたじゃん",Residential,,,1,,,,,,,,
31,Mio,,"助けられてばっかり",Residential,,,1,,,,,,,,
32,Nagi,,"それ、だめなの?",Residential,,,1,,,,,,,,
33,,,"すぐには答えられなかった。",Residential,,,1,,,,,,,,
34,,,"わたしの中の妹は、まだ小さな手で服の裾を引いている。目の前の妹は、その手でわたしをここまで引っ張ってきた。",Residential,,,1,,,,,,,,
35,Mio,,"……十二歳のあんたを探しに来たまま、だったみたい",Residential,,,1,,,,,,,,
36,Nagi,,"うん。ちょっと思った",Residential,,,1,,,,,,,,
37,Nagi,,"……あのさ。一人でなんとかするの、やめてもいい?",Residential,,,1,,,,,,,,
38,,,"七年、誰にも言えなかった言葉だと思った。",Residential,,,1,,,,,,"うん。やめよう",39,sisters_reconciled,"わたしも、やめる",39,sisters_reconciled
39,Mio,,"……次の角、どっち?",Residential,,,1,,,,,,,,
40,Nagi,,"右。左は戻ってきちゃう",Residential,,,1,,,,,,,,
41,Mio,,"分かった。先、お願い",Residential,,,1,,,,,,,,
42,Nagi,,"うん",Residential,,,1,,,,,,,,
43,Saku,,"じゃあ俺、後ろを――",Residential,,,1,,,,,,,,
44,Mio,,"道は選ばないで",Residential,,,1,,,,,,,,
45,Nagi,,"道は選ばないで",Residential,,,1,,,,,,,,
46,Saku,,"そこまで信用ない?",Residential,,,1,,,,,,,,
47,,,"今度は、三人とも少しだけ笑えた。",Residential,,,1,,,,,,,,
48,,,"手帳を開く。写真のタイル。欠け方。角度。目の前の駅と、見比べる。",Station,,,1,,,,,,,,
49,Mio,,"……この駅じゃない。タイルの欠けが逆",Station,,,1,,,,,,,,
50,Nagi,,"じゃあ、あっちの迂回路。遠回りだけど、行ける",Station,,,1,,,,,,,,
51,,,"歩いて、また歩いて。三つ目の駅舎で、わたしは足を止めた。",Station,,,1,,,,,,,,
52,,,"欠けた青いタイル。錆の筋。写真と同じ角度。",Station,,real_station_found,1,,,,,,,,
53,Mio,,"ここだ",Station,,,1,,,,,,,,
54,,,"ホームの奥。閉じた鉄の扉の隙間から、風が吹いていた。冷たくて、少しだけ、草のにおいがした。",Station,,,1,,,,,,,,
55,Saku,,"……外のにおいって、これか",Station,,,1,,,,,,,,
56,Nagi,,"……ここ、何回も来た",Station,,,1,,,,,,,,
57,Nagi,,"開かないの。内側からも、外側からも。私一人じゃ、どうしても",Station,,hidden_route_revealed,1,,,,,,,,
58,,,"地図で指を隠した場所だ。諦めきれずに、諦めるしかなかった場所。",Station,,,1,,,,,,,,
59,Saku,,"見せて",Station,,,1,,,,,,,,
60,,,"朔さんは扉の前にしゃがみ、金具を三箇所さわって、工具袋を下ろした。",Station,,,1,,,,,,,,
61,Saku,,"道順以外は、わりと得意なんだ",Station,,chapter,5,,,,,,,,
