index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,Saku,,"必要なのは二つ。通路の鍵と、扉の作動部品",Station,,chapter,5,,,,,,,,
1,Mio,,"心当たり、あります。保守室の記録に番号が",Station,,,1,,,,,,,,
2,Nagi,,"部品なら、地下道の棚。近道、知ってる",Station,,,1,,,,,,,,
3,,,"三人で分かれる必要はなかった。凪が先を歩き、わたしが番号を照合し、朔さんが荷物を持つ。",Underpass,,,1,,,,,,,,
4,Mio,,"番号、一致した。これです",Underpass,,service_key_found,1,,,,,,,,
5,Nagi,,"棚の三段目。……あった",Underpass,,service_part_found,1,,,,,,,,
6,Saku,,"ありがとう。……よし、戻ろう",Underpass,,,1,,,,,,,,
7,,,"来た道を戻る。凪の背中は、迷わない。",Underpass,,,1,,,,,,,,
8,,,"扉の前。朔さんが部品を受け取って、金具にはめ込んだ。",Station,,,1,,,,,,,,
9,Saku,,"閉じたら、ここで留まる。誰かが押さえてなくても大丈夫",Station,,,1,,,,,,,,
10,Nagi,,"本当に?",Station,,,1,,,,,,,,
11,Saku,,"本当に。そこは確認した",Station,,latch_confirmed,1,,,,,,,,
12,Mio,,"道順も、それくらい確認してくれれば",Station,,,1,,,,,,,,
13,Saku,,"今、それ言う?",Station,,,1,,,,,,,,
14,Nagi,,"帰ってからも言うと思う",Station,,,1,,,,,,,,
15,Saku,,"……じゃあ、帰らないとな",Station,,,1,,,,,,,,
16,,,"鍵が回る。金属が、長く鳴った。",Station,,service_door_open,1,,,,,,,,
17,,,"その音の余韻が消える前に、ホームの向こうで靴音が向きを変えた。",Station,,,1,,,,,,,,
18,Nagi,,"来る",Station,,,1,,,,,,,,
19,Saku,,"退避スペース、扉の手前。さっき見せたとこ",Station,,,1,,,,,,,,
20,,,"明かりを消す。三人で身を寄せる。凪の手が、わたしの手を握っていた。今度は、わたしからも握り返した。",Station,,,1,,,,,,,,
21,,,"足音が、開いた扉の前で止まる。",Station,,,1,,,,,,,,
22,,,"一。二。三。四。五。",Station,,,1,,,,,,,,
23,,,"……離れていく。",Station,,final_hide_cleared,1,,,,,,,,
24,Saku,,"……行こう",Station,,,1,,,,,,,,
25,,,"通路の中は狭くて、風が正面から吹いていた。三人で入って、内側のレバーを下ろす。",Underpass,,,1,,,,,,,,
26,,,"かちり、と留め具がかかった。朔さんの言った通りだった。",Underpass,,door_latched,1,,,,,,,,
27,Nagi,,"……閉まった",Underpass,,,1,,,,,,,,
28,,,"凪が、暗いほうを振り返った。",Underpass,,,1,,,,,,,,
29,Nagi,,"ここに置いていくもの、ない?",Underpass,,,1,,,,,,,,
30,,,"わたしは鞄を確かめた。家族写真。凪のノート。懐中電灯。",Underpass,,,1,,,,,,"全部、持ってる",31,,"凪の手を取る",31,
31,Mio,,"ない。大事なものは、もう持ってる",Underpass,,,1,,,,,,,,
32,Nagi,,"……うん",Underpass,,,1,,,,,,,,
33,,,"歩く。だんだん、風が温かくなる。",Underpass,,,1,,,,,,,,
34,,,"車の音。鳥の声。誰かの笑い声。人の、音。",Underpass,,,1,,,,,,,,
35,,,"トンネルの先が、白い。夕暮れではない色を、七年ぶりに見た気がした。",Underpass,,,1,,,,,,,,
36,Mio,,"……朝だ",Underpass,,,1,,,,,,,,
37,,,"わたしは凪の手を引いた。凪も、引き返してきた。",Underpass,,,1,,,,,,,,
38,Saku,,"待って待って、置いていかないで",Underpass,,,1,,,,,,,,
39,Nagi,,"朔さん遅い",Underpass,,,1,,,,,,,,
40,Saku,,"荷物持ちなの、俺なんだけど!",Underpass,,,1,,,,,,,,
41,,,"三人で、外に出た。",Underpass,,escaped,1,,,,,,,,
