index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,,,"七年ぶりだった。",Station,,chapter,0,,,,,,,,
1,,,"『駅で待ってる。迎えに来て』",Station,,,1,,,,,,,,
2,,,"文面はそれだけ。写真が一枚。夕暮れのホームと、青いタイルの壁。",Station,,,1,,,,,,,,
3,Mio,,"……凪だ。",Station,,,1,,,,,,,,
4,,,"送信者の名前も、言い回しも、七年前のままだった。迎えに来て。まるで、塾の帰りを待っているみたいに。",Station,,,1,,,,,,,,
5,,,"わたしは鞄に懐中電灯を放り込んで、次の電車に乗った。",Station,,,1,,,,,,,,
6,,,"ドアの閉まる音がしなかった。",Station,,,1,,,,,,,,
7,Mio,,"……あれ?",Station,,,1,,,,,,,,
8,,,"振り返る。電車がいない。ホームには、わたしの足音だけが残っていた。",Station,,,1,,,,,,,,
9,Mio,,"降りたの、わたしだけ……?",Station,,,1,,,,,,,,
10,,,"駅の時計は十八時十七分。売店の時計は十八時二十三分。町ごと止まっているわけじゃない。ただ、人がいない。",Station,,,1,,,,,,,,
11,Mio,,"すみません。誰か、いませんか",Station,,,1,,,,,,,,
12,,,"返事はない。かわりに、自動販売機がひとつ、律儀に唸っていた。",Station,,,1,,,,,,,,
13,,,"ベンチの脚元に、白いチョークの跡。三角の耳が片方だけ大きい、下手な猫。",Station,,,1,,,,,,,,
14,Mio,,"……この描き方。凪だ",Station,,cat_mark_found,1,,,,,,,,
15,,,"昔、待ち合わせのたびに凪が描いた印。ここにいる。少なくとも、いた。",Station,,,1,,,,,,,,
16,,,"写真をもう一度見る。写っているのは、欠けた青いタイル。顔を上げる。目の前の壁は、白い。",Station,,,1,,,,,,,,
17,Mio,,"……この駅じゃない?",Station,,tile_clue,1,,,,,,,,
18,,,"改札を抜けて、来た道を戻ろうとした。",Station,,,1,,,,,,"駅前に戻る",19,,"ホームをもう一度見る",19,
19,,,"駅前に出たはずが、目の前にあったのは商店街のアーケードだった。",Residential,,,1,,,,,,,,
20,Mio,,"……戻ってきた?",Residential,,,1,,,,,,,,
21,,,"もう一度引き返す。今度は、さっきと同じ自動販売機の前に立っていた。",Residential,,,1,,,,,,,,
22,,,"手帳を開いて、印をつける。同じ道。三回。",Residential,,loop_learned,1,,,,,,,,
23,Mio,,"帰れない。……凪も、こうやって?",Residential,,,1,,,,,,,,
24,,,"歩き出す。シャッターの並ぶ通りに、わたしの靴音が反響した。",Residential,,,1,,,,,,,,
25,,,"立ち止まる。",Residential,,,1,,,,,,,,
26,,,"靴音が、二歩ぶん、遅れて止まった。",Residential,,,1,,,,,,,,
27,Mio,,"……っ",Residential,,,1,,,,,,,,
28,,,"横の店の裏口が開いて、腕が伸びた。声を上げる間もなく、暗がりへ引き込まれる。",Residential,,footsteps_heard,1,,,,,,,,
