index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,,,"埃と、段ボールのにおい。口をふさいでいた手が離れる。",Laundromat,,chapter,1,,,,,,,,
1,Mio,,"知らない人に急に引っ張られたら、普通は叫ぶんですけど!",Laundromat,,,1,,,,,,,,
2,Saku,,"うん。だから、先に謝る。ごめん",Laundromat,,,1,,,,,,,,
3,Mio,,"謝る順番もおかしい!",Laundromat,,,1,,,,,,,,
4,,,"男の人は口元に指を立てた。からかっている顔ではなかった。",Laundromat,,,1,,,,,,,,
5,,,"戸の向こうで、靴底が床をこする。一歩。もう一歩。",Laundromat,,,1,,,,,,,,
6,,,"わたしたちは、さっきから一歩も動いていない。",Laundromat,,,1,,,,,,,,
7,Saku,,"……その文句、あとで全部聞くから",Laundromat,,,1,,,,,,,,
8,Mio,,"倍にして言います",Laundromat,,,1,,,,,,,,
9,Saku,,"帰れたらね",Laundromat,,,1,,,,,,,,
10,,,"その言い方だけが、妙に引っかかった。",Laundromat,,,1,,,,,,,,
11,,,"足音が遠ざかる。男の人が息を吐いて、ようやく手を離した。",Laundromat,,,1,,,,,,,,
12,Saku,,"榛名朔。修理屋。……直す相手が、もういないけど",Laundromat,,saku_met,1,,,,,,,,
13,Mio,,"水瀬澪です。あの、いま外にいたのって",Laundromat,,,1,,,,,,,,
14,Saku,,"分からない。姿は見てない。ただ、音だけずっと歩いてる",Laundromat,,,1,,,,,,,,
15,Saku,,"止まると、向こうも止まる。少し遅れて",Laundromat,,,1,,,,,,,,
16,Mio,,"……止まりました。二歩ぶん",Laundromat,,,1,,,,,,,,
17,Saku,,"じゃあ、覚えることは一個。音が止まらなかったら、明かりを消して隠れる",Laundromat,,hide_rule_learned,1,,,,,,,,
18,Saku,,"通りの真ん中で電気消しても、それは隠れたことにならないからね",Laundromat,,,1,,,,,,,,
19,Mio,,"……はい",Laundromat,,,1,,,,,,,,
20,Saku,,"君も、電車で?",Laundromat,,,1,,,,,,,,
21,,,"うなずくと、朔さんは意外そうに眉を上げた。自分だけじゃない。それが分かっただけで、少し息がしやすくなる。",Laundromat,,,1,,,,,,,,
22,Mio,,"妹を探してます。七年前に、いなくなった",Laundromat,,,1,,,,,,,,
23,Saku,,"七年",Laundromat,,,1,,,,,,,,
24,Mio,,"写真が届いたんです。この駅で待ってるって",Laundromat,,,1,,,,,,,,
25,,,"朔さんはしばらく黙って、それから「そうか」とだけ言った。無理に慰めない人だ、と思った。",Laundromat,,,1,,,,,,,,
26,,,"レジの横に、紙の切れ端が挟まっていた。短い文と、下手な猫の絵。",Laundromat,,,1,,,,,,,,
27,Mio,,"『住宅街の角、ミラーのとこ』……凪の字だ",Laundromat,,nagi_note_01,1,,,,,,,,
28,Saku,,"筆跡、分かるんだ",Laundromat,,,1,,,,,,,,
29,Mio,,"字より、猫です。耳を三角に描き損なうの、昔から直らなくて",Laundromat,,,1,,,,,,,,
30,,,"胸の奥が、じん、と熱くなる。生きて、ここを歩いて、書いた跡だ。",Laundromat,,,1,,,,,,,,
31,Saku,,"住宅街ね。表のシャッターは全部下りてるから、食堂の裏口を抜けるしかない",Laundromat,,,1,,,,,,,,
32,Mio,,"鍵は?",Laundromat,,,1,,,,,,,,
33,Saku,,"当番表と、配膳口。だいたい、決まった場所にある",Laundromat,,,1,,,,,,,,
34,,,"食堂の中は、湯気が立っていた。誰も手をつけていない定食が、四つ。",Laundromat,,,1,,,,,,,,
35,Mio,,"……いま作ったみたい",Laundromat,,,1,,,,,,,,
36,,,"厨房へ行こうとしたわたしの肩を、朔さんが軽く押さえた。先に戸口から中を確かめる。慣れた動きだった。",Laundromat,,,1,,,,,,,,
37,Saku,,"人はいない。飯だけがある。ここ、ずっとこれ",Laundromat,,food_mystery,1,,,,,,,,
38,Mio,,"食べたんですか",Laundromat,,,1,,,,,,,,
39,Saku,,"腹は減るからね。……帰ったら、人のいる食堂で朝ごはん食べたい。それだけ考えてる",Laundromat,,saku_wish,1,,,,,,,,
40,,,"当番表の裏に鍵。配膳口の絵の通りだった。",Laundromat,,service_key_found,1,,,,,,,,
41,Mio,,"ありました",Laundromat,,,1,,,,,,,,
42,Saku,,"裏口、たぶん引っかかってる。工具、貸してくれる?",Laundromat,,,1,,,,,,,,
43,,,"わたしが店で見つけた道具を渡すと、朔さんは金具の一点だけを見て、迷わず手を入れた。",Laundromat,,,1,,,,,,,,
44,Saku,,"うん。ここ。……開く",Laundromat,,back_door_open,1,,,,,,,,
45,,,"金属が鳴った。思ったより、大きく。",Laundromat,,,1,,,,,,,,
46,Saku,,"……音、出たな",Laundromat,,,1,,,,,,,,
47,,,"通りの向こうで、靴音が向きを変えた。まっすぐ、こっちへ。",Laundromat,,,1,,,,,,,,
48,Mio,,"どこに隠れれば",Laundromat,,,1,,,,,,"在庫棚の陰へ",50,hid_correctly,"走って裏口を抜ける",49,
49,,,"開いたばかりの戸口へ走ろうとして、朔さんに腕をつかまれた。「音のするほうへ走るな」。",Laundromat,,,1,,,,,,,,
50,,,"在庫棚の陰。明かりを落として、動かない。息だけが、やけに大きく聞こえる。",Laundromat,,,1,,,,,,,,
51,,,"足音が戸口で止まった。",Laundromat,,,1,,,,,,,,
52,,,"一。二。三。",Laundromat,,,1,,,,,,,,
53,,,"……遠ざかっていく。",Laundromat,,first_hide_cleared,1,,,,,,,,
54,Mio,,"……行った",Laundromat,,,1,,,,,,,,
55,Saku,,"よくできました。走らなかったのが偉い",Laundromat,,,1,,,,,,,,
56,Mio,,"褒められても、膝が笑ってます",Laundromat,,,1,,,,,,,,
57,,,"裏口の内側に、白いチョークの猫。その下に、新しい字があった。",Laundromat,,,1,,,,,,,,
58,,,"『お姉ちゃんへ。大通りはだめ』",Laundromat,,nagi_note_02,1,,,,,,,,
59,Mio,,"……お姉ちゃんへ、って",Laundromat,,,1,,,,,,,,
60,Saku,,"君が来ること、知ってたのか",Laundromat,,,1,,,,,,,,
61,Mio,,"待ってるって、書いてありましたから",Laundromat,,,1,,,,,,,,
62,,,"わたしは懐中電灯を握り直した。大通りはだめ。じゃあ、行くのは角のミラーだ。",Laundromat,,chapter,2,,,,,,,,
