index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,,,"ブランコが、風もないのに小さく揺れていた。",Park,,chapter,3,,,,,,,,
1,Nagi,,"お姉ちゃん、遅い",Park,,,1,,,,,,,,
2,,,"声は、覚えていた。",Park,,,1,,,,,,,,
3,,,"顔は、知らないところが増えていた。",Park,,,1,,,,,,,,
4,,,"わたしが覚えているより高い背。少し大人びた頬。それなのに、笑う直前に唇をかむ癖だけは、変わっていない。",Park,,nagi_joined,1,,,,,,,,
5,Mio,,"……伸びたね",Park,,,1,,,,,,,,
6,Nagi,,"最初に言うこと、それ?",Park,,,1,,,,,,,,
7,Mio,,"もっと、いっぱい考えてたんだけど",Park,,,1,,,,,,,,
8,Nagi,,"うん",Park,,,1,,,,,,,,
9,Mio,,"全部、忘れた",Park,,,1,,,,,,,,
10,,,"凪は笑った。笑ったまま、わたしの袖を握った。指だけが、離れない。",Park,,,1,,,,,,,,
11,Nagi,,"じゃあ、あとで。いっぱい聞くから",Park,,,1,,,,,,,,
12,Saku,,"……えっと。俺、あっちの自販機見てくる",Park,,,1,,,,,,,,
13,,,"朔さんは気を利かせて、視線を外してくれた。",Park,,,1,,,,,,,,
14,Mio,,"何年、経ったと思ってる?",Park,,,1,,,,,,,,
15,Nagi,,"……分かんない。数えるの、途中でやめちゃった",Park,,,1,,,,,,,,
16,Mio,,"七年",Park,,,1,,,,,,,,
17,,,"凪は口を開けて、それから閉じた。七年、と小さく繰り返す。",Park,,,1,,,,,,,,
18,Nagi,,"じゃあ私、十九?",Park,,,1,,,,,,,,
19,Mio,,"うん",Park,,,1,,,,,,,,
20,Nagi,,"うわ。お酒、飲めるじゃん",Park,,,1,,,,,,,,
21,Mio,,"飲ませないよ",Park,,,1,,,,,,,,
22,,,"泣くのはこらえた。ここで泣いたら、この子はきっと、また一人で我慢する。",Park,,,1,,,,,,,,
23,Nagi,,"ごはんね、減らないの。同じ戸棚に、また入ってる",Park,,,1,,,,,,,,
24,Nagi,,"水が使える建物も、三つある。眠る場所は変えてた。同じところにいると、見つかるから",Park,,,1,,,,,,,,
25,Mio,,"……ずっと、そうやって",Park,,,1,,,,,,,,
26,Nagi,,"最初はね、ずっと泣いてた。泣いても誰も来ないから、歩くことにした",Park,,,1,,,,,,,,
27,,,"あっさりと言う。あっさり言えるようになるまでに、どれだけかかったのか。",Park,,,1,,,,,,,,
28,Nagi,,"写真、届いた?",Park,,,1,,,,,,,,
29,Mio,,"届いた。それで来た",Park,,,1,,,,,,,,
30,Nagi,,"……ごめん",Park,,,1,,,,,,,,
31,Mio,,"え",Park,,,1,,,,,,,,
32,Nagi,,"駅ごとに、ずっと送ってたの。全部だめで。一回だけ、通った場所があって",Park,,photo_sent_place,1,,,,,,,,
33,Nagi,,"外にいるお姉ちゃんに、居場所を教えたかっただけ。……まさか、同じところに来ちゃうなんて思わなかった",Park,,,1,,,,,,,,
34,,,"凪の指が、袖を強く握った。",Park,,,1,,,,,,"呼んでくれてよかった",36,,"謝らせない",35,
35,Mio,,"謝らないで。連絡くれなかったら、わたしはまだ、駅前でビラを配ってた",Park,,,1,,,,,,,,
36,Mio,,"見つけられたんだから、それでいい",Park,,,1,,,,,,,,
37,Nagi,,"……うん",Park,,,1,,,,,,,,
38,Saku,,"話、まとまった? 俺、地図広げていい?",Park,,,1,,,,,,,,
39,,,"滑り台の裏から、凪が折り畳んだ紙を引っ張り出した。手書きの地図。",Park,,nagi_map,1,,,,,,,,
40,Nagi,,"行き止まりは×。音がよく響くとこは波線。安全なとこは丸",Park,,,1,,,,,,,,
41,Saku,,"……よくできてる。俺の頭より正確だ",Park,,,1,,,,,,,,
42,Nagi,,"それ、自慢にならないよ",Park,,,1,,,,,,,,
43,Mio,,"駅は、どこ",Park,,,1,,,,,,,,
44,Nagi,,"地下道を抜けたとこ。……でも、駅は一個じゃないよ",Park,,many_stations,1,,,,,,,,
45,Mio,,"え?",Park,,,1,,,,,,,,
46,Nagi,,"名前が同じなだけの駅が、いくつもあるの。看板は当てにならない",Park,,,1,,,,,,,,
47,,,"わたしは手帳を開いた。錆の形、欠けたタイル、窓の外の景色。目印なら、記録してある。",Park,,,1,,,,,,,,
48,Mio,,"じゃあ、わたしが見分ける。凪は道を",Park,,,1,,,,,,,,
49,Nagi,,"……先、歩くよ? 私のほうが知ってるし",Park,,,1,,,,,,,,
50,Mio,,"だめ。危ないから、後ろにいて",Park,,,1,,,,,,,,
51,,,"言ってから、しまった、と思った。凪の顔から表情が抜ける。",Park,,,1,,,,,,,,
52,Nagi,,"……七年、後ろにいなかったけど",Park,,sisters_friction,1,,,,,,,,
53,Mio,,"それは",Park,,,1,,,,,,,,
54,Saku,,"はい、地図。地下道の入口はここ。行こうか",Park,,,1,,,,,,,,
55,,,"朔さんは説教をしなかった。ただ、行き先を指した。ありがたかった。",Park,,,1,,,,,,,,
56,,,"歩き出す前に、凪が地図の一点を指で隠した。",Park,,,1,,,,,,,,
57,Nagi,,"……そこは、あとで話す",Park,,hidden_route,1,,,,,,,,
58,,,"隠された指の下には、細い通路の印があった。",Park,,chapter,4,,,,,,,,
