index,characterId,speaker,text,backgroundId,voiceId,setFlag,setFlagValue,requiredFlag,forbiddenFlag,choice1Text,choice1Next,choice1Flag,choice2Text,choice2Next,choice2Flag
0,,,"それから、いろいろあった。",Laundromat,,chapter,6,,,,,,,,
1,,,"保護と、事情聴取と、七年分の書類。説明しなければいけないことは、まだ山ほど残っている。",Laundromat,,,1,,,,,,,,
2,,,"それでも今朝は、三人で朝ごはんを食べている。",Laundromat,,,1,,,,,,,,
3,Nagi,,"……多すぎない? これ",Laundromat,,,1,,,,,,,,
4,Saku,,"大盛りって言ったの、俺じゃないよ",Laundromat,,,1,,,,,,,,
5,Nagi,,"言ってた",Laundromat,,,1,,,,,,,,
6,Saku,,"三人分だと思ったんだよ",Laundromat,,,1,,,,,,,,
7,,,"湯気が立っている。今度は、誰かが作って、誰かが運んできたものだ。",Laundromat,,,1,,,,,,,,
8,Mio,,"凪は、卵は半熟で、味噌汁は先に――",Laundromat,,,1,,,,,,,,
9,,,"言いかけて、口を閉じた。",Laundromat,,,1,,,,,,,,
10,Mio,,"……何にする?",Laundromat,,,1,,,,,,"凪に聞く",11,mio_changed,"凪に聞く",11,mio_changed
11,,,"凪は目を丸くして、それから、少し笑った。",Laundromat,,,1,,,,,,,,
12,Nagi,,"んー。……全部食べる",Laundromat,,,1,,,,,,,,
13,Mio,,"食べきれないよ",Laundromat,,,1,,,,,,,,
14,Nagi,,"食べる。七年ぶんあるもん",Laundromat,,,1,,,,,,,,
15,,,"朔さんが、味噌汁を一口飲んで、しばらく黙った。",Laundromat,,,1,,,,,,,,
16,Saku,,"……人のいる食堂の朝ごはんって、こんな味だっけ",Laundromat,,,1,,,,,,,,
17,Mio,,"泣かないでください",Laundromat,,,1,,,,,,,,
18,Saku,,"泣いてない。湯気",Laundromat,,,1,,,,,,,,
19,Nagi,,"湯気",Laundromat,,,1,,,,,,,,
20,,,"店を出る。三人分の靴音が、朝の道に響いた。",Laundromat,,,1,,,,,,,,
21,,,"わたしは一度だけ、足を止めてみた。",Laundromat,,,1,,,,,,,,
22,,,"音も、止まった。",Laundromat,,,1,,,,,,,,
23,Nagi,,"どうしたの?",Laundromat,,,1,,,,,,,,
24,Mio,,"ううん。帰ろう",Laundromat,,ending_reached,1,,,,,,,,
